age,education,work_experience,major,industry,prior_startup_involvement,entrepreneurship_education,employment_title,location,risk_tolerance,income,credit_score,family_background,network_size,savings,self_efficacy,openness,started_business
56,1,21,Other,Finance,0,0,Other,Seattle,0.4547596799535431,46495.60361299812,627.9631874351279,0,31.194249636587916,12163.98885576029,0.7444112203131255,0.5071214207332119,0
69,3,35,Arts,Other,0,8,Other,Chicago,0.5121713778433116,36855.64669595456,647.6424488415454,1,42.248677348551375,77197.99871394082,0.5285231471190432,0.5213608258320324,1
46,1,4,Arts,Tech,0,0,Engineer,New York,0.2992205493835747,23314.72128418678,708.7347151099764,0,23.20489493407701,35495.970308448064,0.604811882013253,0.5043550377431998,0
32,2,12,Science,Finance,0,2,Other,Chicago,0.6294828468526135,51262.60459153123,708.8280499927469,1,39.01459327759461,11202.611010148188,0.6720523760001269,0.5297780963170647,1
60,1,28,Engineering,Tech,0,4,Engineer,Chicago,0.19772245034633945,42501.28084098653,752.12656365635,0,40.666661459641226,18241.411171971737,0.433615779816115,0.6827563252073905,1
25,2,30,Engineering,Retail,0,0,Other,Other,0.4016933725898473,26116.173720906376,677.4822771396252,0,66.90442725542687,38314.00968222039,0.49513133883644034,0.2966696934394961,0
38,1,15,Engineering,Manufacturing,0,0,Other,San Francisco,0.562769578867069,45098.08975948261,687.7981985749179,0,43.361496133058886,19098.180680474117,0.7993635485244585,0.4761544305581117,0
56,1,29,Other,Healthcare,0,1,Manager,Austin,0.3316052832440982,28080.901236313064,756.2660652983219,0,41.03836752525255,44664.8626336834,0.5042283502110592,0.40676458731756776,0
36,1,15,Business,Tech,0,0,Engineer,Remote,0.5921193919175665,20905.181375808555,593.7452549306183,0,54.40080333308079,17577.21456586191,0.5638165690580842,0.6180803060566231,0
40,2,11,Computer Science,Education,0,2,Technician,Chicago,0.36962090321725966,19873.97513829005,715.8726473458513,0,53.61705218645126,21010.988889248034,0.5397065639603968,0.485911783034562,1
28,2,16,Other,Retail,0,0,Manager,Seattle,0.31608941107755395,41565.646944154694,683.2885610684032,0,38.1791865737009,38952.17996893771,0.4005220642110026,0.555970477553398,0
28,2,15,Economics,Education,0,1,Other,Other,0.6929723096966711,29990.457749642115,735.6379889476872,0,57.88456785037596,31635.481308896284,0.6082722538504418,0.6427306777825867,1
41,1,11,Business,Retail,0,2,Clerk,Seattle,0.5230895289648507,76945.4501006374,725.6303301430671,0,46.427056046438906,12643.057604176298,0.5974748375701132,0.39189903943869997,0
70,2,7,Other,Education,0,1,Director,Remote,0.5778554117074439,35543.79735411349,665.1845177805167,0,38.14673398689987,28579.10061192061,0.6180851214420123,0.4472482362116852,1
53,1,19,Computer Science,Finance,0,3,Other,Austin,0.6527314376829045,24523.7754688637,674.6332571760508,1,40.09042338122012,24354.425719717445,0.5915424442651983,0.6324082369878595,0
57,1,2,Engineering,Other,1,3,Engineer,Austin,0.1071051575748605,39297.210642552345,584.9012287226159,0,68.98701378703886,12745.836438562263,0.5540139059011808,0.38789372186595616,0
41,1,15,Computer Science,Finance,0,2,Technician,New York,0.5952173959955479,19012.77383226285,737.499574913091,0,40.69144013480884,9563.545485118892,0.5482727799647944,0.4506219649517633,0
20,2,29,Business,Finance,1,1,Engineer,New York,0.3858462223258479,34819.553137454066,711.9886910032316,0,55.222506730122866,6913.07483424615,0.5499823970840041,0.3399644500357589,1
39,1,22,Other,Other,0,2,Other,New York,0.4056090813839129,42598.88627937804,769.9256177725856,0,24.35199471239073,18459.705400038307,0.5011310281153074,0.6363363350073559,0
70,1,27,Engineering,Retail,0,4,Engineer,Austin,0.565616161649838,40048.08570866263,680.0299981919727,0,72.3060999678452,21324.161218767345,0.5166195387612692,0.44187534364192266,0
19,2,39,Other,Retail,0,1,Manager,Chicago,0.4455438839885821,69661.28324235599,745.7167798824013,0,38.34011451683018,29814.401683216398,0.5028086320269641,0.5351160467047116,1
41,1,4,Business,Other,0,2,Clerk,San Francisco,0.589178161318478,133087.03117340486,646.5036977217931,0,58.00578993487774,36036.48483083166,0.6573410493895234,0.567598032424396,0
61,1,19,Economics,Education,1,2,Clerk,Remote,0.4938735548725877,50802.39030312069,564.7605101070517,1,44.968637439938064,17183.15279513958,0.6306102570458012,0.4196763129583904,0
47,1,39,Engineering,Tech,0,3,Manager,Other,0.5252313522026085,65473.33004978711,695.2743029816116,0,57.77668315584917,20955.516157685553,0.6027133848181837,0.3095999918303154,0
55,1,0,Computer Science,Unemployed,0,0,Unemployed,Remote,0.4264667611977066,129538.23011895131,671.6659122473487,1,58.86880440729386,13971.385266225538,0.794226521085992,0.4780535902655236,1
19,1,29,Business,Education,0,0,Analyst,Remote,0.3402600066262793,21958.0056936461,647.458928710764,1,47.106734795797905,23210.105680365654,0.5074304690055573,0.4764172236754271,1
38,1,20,Science,Tech,0,3,Manager,New York,0.3889523643878742,38766.57574145071,744.9052696743308,1,12.680709034114614,39383.61748652712,0.7118776815253296,0.49394965214026226,1
50,2,19,Computer Science,Other,0,1,Manager,San Francisco,0.4845763804280083,28595.416849717738,760.4123336771779,0,71.82030218816482,23404.54948461126,0.5739969825512229,0.49450170077056343,0
29,1,5,Computer Science,Finance,0,0,Consultant,Seattle,0.7755857589161808,55344.29464967162,705.271063968293,0,47.201946753983286,44267.021361339364,0.6157164684940264,0.4501227157666821,0
39,1,21,Engineering,Retail,0,1,Other,Austin,0.7207859598670313,41598.08700512685,690.8740465190917,0,57.360120143481325,38990.33197075479,0.6671136231460782,0.44624626981526805,1
61,2,17,Other,Healthcare,0,5,Engineer,Seattle,0.4020056033210908,24119.691005649933,703.1354186951261,0,63.83437379816537,52818.601098616,0.5522463462308054,0.5297703528814787,1
42,1,7,Arts,Finance,0,2,Manager,New York,0.5090386515998713,36514.83546813737,667.3536878049337,0,40.85651705713941,23802.34678514305,0.49433021618263834,0.41761426099703236,0
66,1,38,Computer Science,Manufacturing,0,1,Engineer,Chicago,0.45684155390809283,61295.47916320572,728.1297974214201,0,60.34270913208925,16003.16661513409,0.5108224168974994,0.4904676551909682,0
44,1,31,Business,Tech,0,2,Engineer,Other,0.5195399928303536,18923.08121926879,623.0314006919281,0,35.047958117515186,31975.974843288863,0.38937161829664335,0.4437041268590527,0
59,1,32,Science,Healthcare,1,1,Consultant,Other,0.5388369121314164,24375.351643951482,646.3460935784904,0,57.75085712957096,17610.633978435286,0.6606796157321285,0.5295605243643248,1
45,1,15,Economics,Finance,0,1,Other,New York,0.5791272523633402,22614.859234889227,660.43694243466,0,50.39405526955742,31379.527963867913,0.6582739626660119,0.6108576280318272,0
33,2,11,Science,Retail,0,2,Engineer,San Francisco,0.06482918272738875,42753.15521086411,727.0677715490765,0,41.55009712999087,14799.046261272266,0.7583650556092384,0.614937777311902,1
32,2,37,Business,Healthcare,0,3,Technician,Other,0.554974799883041,67525.32824972628,684.8755071478379,0,50.93984340625996,13399.283157799819,0.6414928909068709,0.6289290872537674,1
64,1,33,Engineering,Education,0,1,Manager,New York,0.44016184561750293,13294.859920228946,768.0195197351536,0,28.896130532076963,45700.64040846713,0.665522474742636,0.46659072246578814,1
68,1,13,Business,Tech,0,0,Engineer,Remote,0.39425931286525945,38070.663655834396,740.1654878189254,0,56.18079855347795,11997.521208947383,0.5918453644130642,0.474995300816884,0
61,1,35,Arts,Manufacturing,1,0,Analyst,Chicago,0.6191385017243105,22877.053151262484,659.9453412218827,0,58.256441580456375,40674.175736732424,0.6464879220816044,0.3731047686541815,1
69,3,32,Arts,Education,0,4,Analyst,Chicago,0.7200236624607153,60036.10363055767,731.673289519931,0,56.91280279808228,31307.67587530557,0.7089592933659921,0.4657450972167741,1
20,1,22,Arts,Healthcare,1,0,Consultant,Austin,0.603350471606211,32257.822863332407,679.589648592399,0,80.04341655081966,23308.620287096266,0.6181472216858641,0.4693162176052136,0
54,1,1,Computer Science,Finance,0,1,Technician,Austin,0.42221725891833584,38767.47766218823,723.6590247511982,0,48.10052571789968,7075.639368534738,0.5478768442161249,0.4382852364380554,0
68,1,40,Engineering,Tech,0,3,Clerk,Remote,0.3385991524791634,36291.23396052095,742.5886081796486,0,49.477546557441904,53712.20162924548,0.5779773765438478,0.4378206856577265,0
24,1,20,Other,Retail,0,2,Clerk,Chicago,0.04906333578354799,63710.80188996685,755.7357300906358,0,26.594611977566007,12570.35067360371,0.6751863603233501,0.3302301809821163,1
38,2,1,Arts,Manufacturing,0,0,Manager,Remote,0.5273773994872034,101145.54168977898,710.1010784918958,0,81.4493898308581,39022.441126601094,0.550873659372417,0.36580874042776024,0
26,1,26,Other,Finance,0,1,Other,Chicago,0.5868524161691655,20592.193673270453,780.006184324011,0,20.037132097309865,14551.29859414369,0.6889066326171152,0.5044543587578747,0
56,2,8,Economics,Manufacturing,0,1,Consultant,San Francisco,0.48472047348529546,22555.22309622113,722.0657178030636,0,54.57127213399755,13867.483642454688,0.7908597871690698,0.508207330627973,1
35,1,0,Economics,Unemployed,0,3,Unemployed,New York,0.6400619313256988,42648.566914025745,706.7526079728815,0,37.704378525828304,32898.082985824694,0.6901462134831806,0.5483055869495801,1
21,2,10,Other,Other,0,0,Technician,Austin,0.30197146462512614,24144.18457775657,684.8742806170031,1,51.24633225349278,30426.798298759935,0.6747135903208746,0.4741105529782347,1
42,1,2,Business,Tech,0,0,Manager,San Francisco,0.4743141565317427,57918.48588329107,668.4345489905817,0,23.838814557468165,11080.493197094562,0.6347632261057504,0.5011654237832497,1
31,1,22,Arts,Healthcare,0,0,Engineer,Other,0.46245485606181647,62759.091410927715,720.9941863030853,1,67.83326939541757,52159.179828115164,0.522313051641782,0.6250509549064798,1
67,2,25,Computer Science,Manufacturing,0,0,Manager,New York,0.4834836973615901,27631.50383017903,705.0378818489992,0,30.8964080340092,19464.98716730979,0.5132418033963587,0.49470991762035027,0
26,3,3,Economics,Tech,0,1,Director,Austin,0.6751897494430861,24790.88605133853,713.0412800317195,0,73.32506226198973,22956.51837518222,0.5122377609850509,0.4367930852859228,1
43,2,17,Science,Manufacturing,0,0,Manager,Other,0.4842736663851856,31653.70521654678,724.0372913778145,0,31.447790962874198,18430.338653557126,0.6554732068848558,0.38090520959422175,0
70,1,5,Engineering,Finance,0,2,Engineer,Remote,0.4557811323841206,38254.21797310005,712.8300739071524,0,69.50424838208811,11365.544590852933,0.5610537112712929,0.579747986361843,1
